ITEM_ID,GENRES,DESCRIPTION
289,Art Galleries,
290,Art Galleries,
291,Art Galleries,"""Gallery with 20,000 square feet dedicated to the works of Italian and Italian-Canadian artists."""
292,Art Galleries,"""We specialize in drawing and contemporary works on paper. If there is workmanship with integrity, an individual hand and we respond to the impetus, we'll give the works a drawer. Headbones manages the storage, exhibition, and sales of drawings and works on paper of approximately one hundred visual artists in a one-year period. Collectors have access to about one thousand catalogued works in the gallery at any given time."""
293,Art Galleries,
294,Art Galleries,
295,Art Galleries,
296,Art Galleries|Educational sites,
297,Art Galleries,"""Displays the works of Canadian and international artists."""
298,Art Galleries,
299,Art Galleries,
300,Art Galleries,
301,Art Museums,"""Arcadia Earth is a multi-sensorial journey through underwater worlds, fantasy lands and inspirational art installations. Our entertaining large-scale immersive exhibit pairs incredible artistic installations with exciting and emerging technologies focused on the environment, sustainability and climate change. Our storytelling platform is brought to life through immersive technology, animated by augmented reality, projection mapping and virtual reality, designed to inspire, inform and activate visitors of all ages to reimagine the way we can all positively impact our planet with small, tangible lifestyle changes."""
302,Art Galleries,
303,Art Galleries,
304,Art Galleries|Speciality Museums,
305,Art Galleries,
306,Speciality & Gift Shops|Art Galleries|Antique Shops,"""The Arts Market is a one-of-a-kind shopping experience! We were rated by the Toronto Star as one of the top ten markets in Toronto! We rent booth space to local artisans for 4 weeks at a time. We take ZERO commission on sales which means every dollar you spend at Arts Market goes to a local artisan. Arts Market is a vibrant, eclectic community of artists dedicated to collective success!"""
307,Art Galleries,"""Queen Gallery presents the work of artists from Toronto and around the world in a unique and contemporary space. Our exhibitions focus on questioning art and culture in an interdisciplinary setting. We showcase a spectacular array of talented artists with all types of media (painting, photography, sculpture, video, installation…) while offering visitors a new art-viewing experience from around the world and around the corner, and provide quality and original art to a discerning collector base."""
308,Art Galleries,"""Divina Dali is an art gallery in downtown Toronto featuring 110 original watercolours by Salvador Dali."""
309,Speciality & Gift Shops|Art Galleries|Antique Shops,"""The Arts Market is a one-of-a-kind shopping experience! We were rated by the Toronto Star as one of the top ten markets in Toronto! We rent booth space to local artisans for 4 weeks at a time. Every dollar you spend goes to a local maker. Each location boasts over 50 local, Toronto-based artists selling a mixture of their handmade wares. With that, we have a wide variety of gift-centric products!"""
310,Speciality & Gift Shops|Art Galleries,"""Toronto's best collection of Canadian crafted art. Quality work in clay, glass, metal, wood and fibre, in addition to a superb collection of Inuit art. Craft Ontario is a not-for-profit member driven organization, in service of professional craftspeople. Since 1931, proceeds from Craft Ontario Shop (formerly The Guild Shop) have supported our membership - individual craftspeople."""
311,Speciality & Gift Shops|Art Galleries|Antique Shops,"""The Arts Market is a one-of-a-kind shopping experience! We were rated by the Toronto Star as one of the top ten markets in Toronto! We rent booth space to local artisans for 4 weeks at a time. Every dollar you spend at Arts Market goes to a local artisan. Each location boasts over 50 local, Toronto-based artists selling a mixture of their handmade wares."""
312,Art Galleries,
313,Art Galleries,"""This well-known gallery has displayed works ranging from traditional to contemporary for 25 years."""
314,Speciality Museums,"""The TD Gallery at the Toronto Reference Library is a free cultural destination for Torontonians and visitors alike to connect with our collective cultural memory. Stories are told and histories explored through rare and unique items from the library's Special Collections."""
315,Art Galleries,
316,Military Museums|Speciality Museums|History Museums,"""Located within Royal Canadian Legion Branch 286, this is Toronto's first accessible experiential Museum; honouring Canada's conflict history. We focus on women and minorities in the Military."""
317,Art Galleries,"""We are an online gallery selling an eclectic selection of fine and rare vintage and antique prints. Our business has evolved from a by appointment only showroom to as online virtual location."""
318,History Museums,
319,Art Galleries,
320,Art Galleries,
321,Art Galleries,"""Propeller Members Sharron Corrigan Forrest and Michelle Letarte bring together their respective impressions and connections to the history and landscapes of their travels; in particular, canyons, gorges and caves. The rich layering of mediums, embedded materials and highly textured surfaces complement the parallel perceptions of their experiences."""
322,Art Galleries,
323,Art Galleries,
324,Art Galleries,
325,Art Galleries,
1,Neighbourhoods|Points of Interest & Landmarks|Islands,"""This large sandbar and former industrial site is now a posh, artsy neighborhood filled with quaint shops, eateries, breweries, and year-round arts and cultural festivals. Located in False Creek, it's famous for the Granville Island Public Market where you can get fresh produce, gourmet food, and artisanal handicrafts. Visit during summer when the island is exceptionally bustling with outdoor entertainment acts, or during the holidays for twinkling festive lights. You can get to Granville Island by car by crossing the Granville Bridge. Otherwise, you can also take a scenic ferry ride, or a walking or bike tour of the waterfront. – Tripadvisor"""
2,Points of Interest & Landmarks|Observation Decks & Towers,"""SEE IT ALL FROM HERE! The adventure starts with a 40-second glass elevator ride, whisking you 168 meters (553 feet) up to our panoramic observation deck. From there, you’ll enjoy stunning 360° views of Vancouver’s picture-perfect sights. The Vancouver Lookout is located at the top of one of Vancouver's iconic landmarks, the Harbour Centre. Learn about our vibrant city from information panels located throughout the deck, or follow the complimentary self-guided audio tour. Discover the ideal vantage point for historic Gastown, Coal Harbour, the city’s bustling downtown core, and of course the world-famous Stanley Park, all at the Vancouver Lookout. Buy your tickets online to ensure that a visit to the Lookout is part of your Vancouver experience."""
3,Points of Interest & Landmarks|Monuments & Statues,
4,Points of Interest & Landmarks,
5,Points of Interest & Landmarks,"""Vancouver's premier shopping boulevard is lined with restaurants serving food from all over the world."""
6,Points of Interest & Landmarks,
7,Points of Interest & Landmarks|Architectural Buildings,
8,Points of Interest & Landmarks,"""A major congregation spot for all Vancouver's street performers, jewelry vendors and off-beat personalities."""
9,Points of Interest & Landmarks|Monuments & Statues,
10,Points of Interest & Landmarks,
11,Points of Interest & Landmarks|Monuments & Statues,
12,Points of Interest & Landmarks,
13,Points of Interest & Landmarks|Monuments & Statues,
14,Points of Interest & Landmarks|Monuments & Statues,
15,Neighbourhoods|Points of Interest & Landmarks,
16,Historic Sites|Points of Interest & Landmarks|History Museums,"""The Engine 374 Pavilion houses CPR Locomotive No. 374 which arrived in Vancouver in 1888, hauling the first transcontinental passenger train in Canada. The Pavilion is free to the public and open 7 days a week, 10am-4pm in summer and 11am-3pm in winter."""
17,Art Galleries|Points of Interest & Landmarks,"""Douglas Reynolds Gallery was established in 1995, and is located in Vancouver on Granville street between 7th and 8th avenues in the South Granville gallery district. We specialize in historical and contemporary Northwest Coast native art. The gallery showcases museum quality pieces which make use of contemporary media such as resin, bronze, glass and aluminum. Works include masks, totem poles, bentwood boxes, sculpture, gold and silver jewelry, and early historic objects. Director & owner Douglas Reynolds, has over twenty years of experience dealing with Northwest Coastal native art. The gallery offers pieces by well-known artists such as Bill Reid, Robert Davidson, Jim Hart, Don Yeomans, Beau Dick and Klatle-bhi, while also supporting emerging artists such as Jay Simeon, Phil Gray, David R. Boxley, and Marcus Alfred. Works by these artists can be found in museums and private collections worldwide. We take pride in our friendly, knowledgeable staff."""
18,Art Galleries|Points of Interest & Landmarks,"""This is an artistic site where artists for Brazil have created an artistic painting on four concrete structures."""
19,Points of Interest & Landmarks|Architectural Buildings,
20,Points of Interest & Landmarks|Parks|Monuments & Statues,
21,Points of Interest & Landmarks,
22,Points of Interest & Landmarks|Monuments & Statues,
23,Points of Interest & Landmarks|Architectural Buildings,
24,Points of Interest & Landmarks,
25,Points of Interest & Landmarks|Architectural Buildings,
26,Points of Interest & Landmarks,
27,Points of Interest & Landmarks,
28,Points of Interest & Landmarks,
29,Points of Interest & Landmarks,
30,Marinas|Points of Interest & Landmarks,
31,Points of Interest & Landmarks|Mysterious Sites|Monuments & Statues,
32,Points of Interest & Landmarks|Monuments & Statues,
33,Points of Interest & Landmarks|Monuments & Statues,
34,Points of Interest & Landmarks,
35,Points of Interest & Landmarks|Mysterious Sites|Scenic Walking Areas,
36,Points of Interest & Landmarks|Monuments & Statues,
37,Points of Interest & Landmarks,
38,Points of Interest & Landmarks|Monuments & Statues,
39,Points of Interest & Landmarks|Architectural Buildings|Observation Decks & Towers,
40,Points of Interest & Landmarks,
41,Points of Interest & Landmarks,"""Beautiful, peaceful park right in the middle of downtown Vancouver."""
42,Points of Interest & Landmarks|Monuments & Statues,
43,Points of Interest & Landmarks|Mysterious Sites,
44,Points of Interest & Landmarks,
45,Points of Interest & Landmarks|Monuments & Statues,
46,Points of Interest & Landmarks|Monuments & Statues,
47,Points of Interest & Landmarks|Monuments & Statues,
48,Points of Interest & Landmarks|Monuments & Statues,
49,Points of Interest & Landmarks,
50,Historic Sites|Points of Interest & Landmarks,
51,Points of Interest & Landmarks,
52,Points of Interest & Landmarks,
53,Points of Interest & Landmarks|Monuments & Statues,
54,Points of Interest & Landmarks|Monuments & Statues,
55,Points of Interest & Landmarks|Monuments & Statues,
56,Points of Interest & Landmarks|Monuments & Statues,
57,Points of Interest & Landmarks|Monuments & Statues,
58,Historic Sites|Points of Interest & Landmarks|Military Bases & Facilities,
59,Points of Interest & Landmarks,
60,Points of Interest & Landmarks|Monuments & Statues,
61,Points of Interest & Landmarks,
62,Points of Interest & Landmarks,
63,Points of Interest & Landmarks|Monuments & Statues,
64,Points of Interest & Landmarks|Monuments & Statues,
65,Points of Interest & Landmarks|Monuments & Statues,
66,Points of Interest & Landmarks|Cemeteries|Mysterious Sites,
67,Points of Interest & Landmarks|Monuments & Statues,
68,Points of Interest & Landmarks,
69,Points of Interest & Landmarks|Theatres|Theatre & Performances,"""The Stanley Industrial Alliance Stage, in the South Granville neighbourhood, opened to the public with Dean Regan's record-setting production of Swing in October 1998, and it is now considered the company's flagship venue. An intimate version of a Broadway or London classic theatre, this elegant stage has permitted the company to move into the exciting arena of producing larger musicals, 20th-century classics, and acclaimed productions from around the world. The Arts Club Theatre Company is the largest theatre company in Western Canada. Each year, over a quarter of a million people experience the best in professional theatre at its three venues: the Stanley Industrial Alliance Stage, Granville Island Stage, and Goldcorp Stage at the BMO Theatre Centre, as well as on tour throughout the province. Its popular productions range from musicals and contemporary comedies to new works and classics."""
70,Points of Interest & Landmarks,
71,Points of Interest & Landmarks|Monuments & Statues,
72,Parks,"""North America's third-largest park draws eight million visitors per year, many of whom may skate or walk past you on the Seawall, a scenic, 5.5-mile path running along the water on the park's perimeter. It's just one of many trails among the park's 1,000 acres, which also house an aquarium, nature center and other recreational facilities."""
73,Neighbourhoods|Points of Interest & Landmarks|Islands,"""This large sandbar and former industrial site is now a posh, artsy neighborhood filled with quaint shops, eateries, breweries, and year-round arts and cultural festivals. Located in False Creek, it's famous for the Granville Island Public Market where you can get fresh produce, gourmet food, and artisanal handicrafts. Visit during summer when the island is exceptionally bustling with outdoor entertainment acts, or during the holidays for twinkling festive lights. You can get to Granville Island by car by crossing the Granville Bridge. Otherwise, you can also take a scenic ferry ride, or a walking or bike tour of the waterfront. – Tripadvisor"""
74,Aquariums,"""Discover over 65,000 amazing animals like rescued sea otters, sea lions, and other extraordinary aquatic species in the heart of Vancouver’s iconic Stanley Park. Immerse yourself in the breathtaking natural beauty of Canada’s largest aquarium, featuring 120 world-class exhibits, thrilling 4D Theatre experiences, interactive displays, daily educational animal programs, 60+ years of marine mammal rescue stories, and so much more. From the enchanting waters of local Canadian habitats to the exotic wonders of the Amazon rainforest, learn about the incredible diversity of the animal kingdom around the world!"""
75,Gardens,"""VanDusen Botanical Garden is a 55-acre oasis in the heart of Vancouver with over 7,500 plant species and varieties from around the world! Spot and photograph local wildlife, find your way through an Elizabethan hedge maze, unwind in a serene setting, dine on the patios of the Garden Café or Shaughnessy Restaurant, and browse the garden-themed gift shop. VanDusen has something for everyone to enjoy! The Garden's multi-award winning LEED Platinum Visitor Centre was named Most Sustainable Building of the Year in 2014. Shaped like an orchid when viewed from above, its organic lines echo the way nature and conservation have been considered at every turn."""
76,Geologic Formations,
77,Parks|Gardens,"""Situated on Little Mountain - the highest point in Vancouver proper - this former rock quarry has been converted into a beautiful city park with flower gardens, public art, grassy knolls, and panoramic views over the city."""
78,Bodies of Water,"""Beautiful vibrant beach that comes alive when it's sunny and warm out. Various activities such as scuba diving, kayaking and others."""
79,Architectural Buildings|Nature & Wildlife Areas|Gardens,"""Enjoy one of Vancouver’s most affordable attractions! Immerse yourself in the tropics at Bloedel Conservatory – a must-see indoor attraction located at the highest point of Vancouver in Queen Elizabeth Park. With exotic birds, vibrant koi fish, and over 500 varieties of lush tropical plants, there’s something for the whole family to enjoy under the Conservatory dome. After your visit, venture out to discover the captivating fountains, charming gardens, and breathtaking city views of Queen Elizabeth"""
80,Bodies of Water,"""Peaceful harbor and dock, perfect for boating."""
81,Beaches,"""This is one of Vancouver's most popular beaches offering panoramic views of downtown Vancouver, Burrard Inlet, and the North Shore Mountains. Surrounded by park land, restaurants, and beautiful people, it's the quintessential Vancouver beach experience."""
82,Architectural Buildings|Gardens,"""Dr. Sun Yat-Sen Classical Chinese Garden is a site of cultural heritage, learning, and reflection in Vancouver's historic Chinatown. Modeled after Ming Dynasty private scholar’s gardens, it is the first of its kind built outside of China. This neighbourhood gem has been named one of the world's \""Top City Gardens\"" by National Geographic."""
83,Gardens,"""**Now open by appointment** Nitobe Memorial Garden is a Japanese tea and stroll garden ranked consistently in the top 5 Japanese Gardens in North America. A place of reflection, where each step reveals a new harmony."""
84,Beaches,"""This expansive beach offers fantastic picnicking opportunities, swimming, beach volleyball, or simply a panoramic view of Vancouver and the mountains. Spanish Banks tends to be a quieter beach which makes it very family-friendly."""
85,Beaches,"""Conveniently located near downtown, this beach is a popular place for sunbathing."""
86,Beaches,
87,Beaches,
88,Gardens,"""Tickets are available for sale on our website. ~ Immerse yourself in the world of wild-collected plants! Garden highlights include internationally recognized collections of magnolias and maples. Stroll through our impressive Asian garden with over 400 kinds of rhododendrons, travel the continents in our alpine garden, explore our BC rainforest garden, head back in time in our traditional physic garden overflowing with herbs, discover food growing techniques in the food garden and much more."""
89,Parks,"""Beautiful forest laced with well-marked trails for hiking and running."""
90,Beaches,"""Beautiful beach with spectacular sunsets and picture-postcard views of Vancouver Island."""
91,Beaches,
92,Parks,"""Located close to downtown, this park is a popular place to fly a kite."""
93,Marinas,
94,Parks,
95,Parks,
96,Parks,
97,Bodies of Water,
98,Gardens,
99,Beaches,
100,Hiking Trails,
101,Parks,
102,Neighbourhoods|Parks|History Museums,"""Park containing nine historical houses."""
103,Parks|Playgrounds,
104,Points of Interest & Landmarks|Parks|Monuments & Statues,
105,Parks,
106,Parks,
107,Parks,
108,Biking Trails|Parks,
109,Parks,
110,Parks,
111,Parks,
112,Parks,
113,Parks,
114,Parks,
115,Parks,
116,Parks,
117,Parks,
118,Marinas|Points of Interest & Landmarks,
119,Caverns & Caves|Geologic Formations,
120,Mountains,
121,Parks,
122,Parks,
123,Parks,
124,Mountains,
125,Beaches|Scenic Walking Areas,
126,Parks,
127,Parks,
128,Hiking Trails,
129,Bodies of Water,
130,Parks,"""Once a place for depression-era political demonstrations, this park is now a pleasant recreational area."""
131,Bodies of Water,"""Premier Sailing School"""
132,Parks|Playgrounds,
133,Parks,
134,Parks,
135,Nature & Wildlife Areas,
136,Parks,
137,Parks,
138,Parks,
139,Parks,
140,Gardens,
141,National Parks,
142,Parks,
143,Parks,
144,Parks,
145,Parks,
146,Parks,
147,Parks,
148,Gardens,"""Crop King Marijuana Seeds features 40 of the worlds best marijuana strains for sale in Feminized, Autoflowering, medical and regular varieties."""
149,Parks,
150,Parks,
151,Art Galleries|Speciality Museums|Art Museums,"""Explore traditional and contemporary art from Northwest Coast First Nations and other cultures across the world. See magnificent Indigenous carvings, weavings and contemporary artworks in a spectacular building overlooking mountains and sea. Admire the world’s largest collection of works by acclaimed Haida artist Bill Reid, including his famous cedar sculpture The Raven and the First Men. Explore the Museum’s Multiversity Galleries where more than 10,000 objects from around the world are displayed. Stroll the Museum Grounds, where monumental Haida houses, poles and Musqueam house posts capture the dramatic beauty of traditional Northwest Coast architecture and design. Enjoy a wide range of special exhibitions and public programs, including free guided gallery walks, and visit the MOA Shop. MOA is situated on the traditional, ancestral, and unceded territory of the Musqueam people."""
152,Science Museums|Children's Museums,"""Science World ignites the imagination with hands-on interactive exhibits, jaw-dropping live science shows, and the giant-screen OMNIMAX Theatre."""
153,Art Galleries,"""The Bill Reid Gallery is the only public Gallery in Canada dedicated to contemporary Indigenous Northwest Coast Art and honours Bill Reid by exhibiting the Bill Reid SFU Art Collection as well as presenting special exhibitions and programs that build bridges between all peoples, including Indigenous and settler populations. The Gallery is conveniently located in the heart of downtown Vancouver and can be found within a short walking distance from the Canada Line’s City Centre Station located in Pacific Centre or the Millenium/Expo Line’s Burrard Station."""
154,Speciality Museums,"""The Vancouver Maritime Museum is a fun, family-friendly place to explore and learn about the sea and the ships that sail it. Climb aboard the historic St. Roch, the first ship to make the west-east traverse of the Northwest Passage. Wander the decks and immerse yourself in the experience of the crew who worked aboard the boat in the 1940s. Kids can imagine, create and play in Underwater World, and the whole family can explore galleries and exhibits that chronicle the rich maritime history of the Pacific Northwest and the Arctic. Enjoy rotating art exhibits that explore our relationship with the sea and take in exhibits on shipwrecks, lighthouses, early fur trade, fireboats, warships, deep-ocean exploration, ship models, the Arctic and more."""
155,Art Galleries|Art Museums,"""Discover the power of art on your next trip to Vancouver with a visit to the Vancouver Art Gallery, one of North America’s most exciting and innovative visual arts institutions. Works by renowned Canadian Modernist painter Emily Carr are often on view as well as ground-breaking exhibitions and selections from the permanent collection. Open 7 days a week, a visit to the Gallery is an opportunity to meditate on more than a century's worth of Canadian and international art, from historical masters to contemporary visionaries. Enhance your experience by attending one of the Gallery’s engaging special events, educational tours or programs designed for families, youth and art enthusiasts of all ages. Weekly Family Programs are featured every Sunday and are free for children 12 and under. Spend time in the Gallery Store; a locals’ favorite or refuel in the Gallery Bistro (currently under renovation)."""
156,Speciality Museums|History Museums,"""The Museum of Vancouver (MOV) connects Vancouverites to each other and connects the city to the world. An enthusiastic civic advocate, MOV is dedicated to encouraging a deeper understanding of Vancouver through stories, objects and shared experiences."""
157,History Museums,"""Welcome to the Roedde family's home. Gustav and Matilda Roedde settled in Vancouver in 1888. Gustav opened the first bookbinding business in Vancouver and by 1893 moved into their new house in the West End. Roedde House is attributed to famed architect Francis Rattenbury and is a City of Vancouver-designated Class A Heritage House. Since 1980, the Roedde House Preservation Society has taken painstaking care to renovate and furnish the house to reflect the ambience of late Victorian family life. Come in and experience life in the late 19th century for yourself!"""
158,Speciality Museums,"""The former Coroner's Court, City Morgue, and Forensic Analyst Lab c. 1932 and city heritage building. The Vancouver Police Museum & Archives is an independent non-profit organization exploring the gritter history of Vancouver and specializing in the history of forensic sciences and policing. We run walking tours through the Summer and host Movies in the Morgue during the winter. Check out our website and social media pages for more information."""
159,History Museums,"""The Chinatown Storytelling Centre is the first permanent space of its kind in Canada with programming, exhibits, and interactive kiosks sharing personal stories about people and places of significance in Canadian history. See how Vancouver’s Chinatown community helped shape our country's past, present, and future."""
160,Speciality Museums|History Museums,"""Come see our newest exhibit \""RIDERS CHOICE\""! Vancouver's Deeley Exhibition is a speed enthusiast's dream gallery, showcasing a themed Exhibition of 60 motorcycles from one of Canada's largest private collection of 250 antique and relevant bikes from around the world. 2017 marks 100 years since the Deeley family placed their faith in an almost unknown motorcycle company from Milwaukee, Wisconsin; Harley Davidson, thus becoming the first distributor of the brand in Canada. To celebrate such a milestone and the evolution of other motorcycle brands throughout the past 100 years, the Deeley Exhibition proudly presents a brand new exhibit, 100 Years of Motorcycling! Located on the Burnaby and Vancouver border, we're easily accessible by transit and a short distance from Downtown Vancouver. Contact us today to start planning your trip, tour or event at Vancouver's most unique venue!"""
161,Art Galleries,"""Since 1996, visitors and collectors alike have appreciated the curated artworks of Canada's Indigenous First Nations and Inuit people. Affordable prints share an inviting space with one-of-a-kind sculptures and fine art."""
162,Speciality Museums,
163,Art Galleries,"""North America's largest Northwest Coast Native art gallery."""
164,Speciality & Gift Shops|Art Galleries|Art Museums,"""Pacific Arts Market (PAM) is extremely excited to announce a major expansion to our business. We have doubled our art space with the opening of \""The Gallery\"" and \""The Studios\"". PAM features over 100 local artists. Vancouver’s best art space to purchase quality paintings, jewelry, pottery, photography, leather goods and other crafts. The best place to buy art in Vancouver, BC. Open year-round and 6 days a week. Shoppers can expect to find unique and individual items that have been carefully made and displayed by the artist themselves. No commissions, the artists get 100% of the sale. Purchasing from the Pacific Arts Market supports the local economy by directly benefitting local artists and makers - making it the ideal shopping destination for everyone in our community, and tourists alike. Located on the south side of Broadway, just half a block east of Granville Street and the premier South Granville shopping district. Vancouver's favourite place for art and gift shopping!"""
165,Speciality Museums,"""Upcoming Events: Indigenous Plant Use; Sun. Feb. 26; 1:00-3:00 p.m Register online. Come and visit Vancouver's only ecology center. Explore our interpretive displays to learn weird and wonderful facts about the animals and plants of Stanley Park.The Nature House is your gateway to nature and exploration!"""
166,Speciality Museums|Science Museums|Observatories & Planetariums,"""The H.R. MacMillan Space Centre will be open on select dates for special programming. Visit the “Upcoming Events” page on our website for a full listing of virtual programs and workshops."""
167,Speciality Museums,"""Are you curious about BC’s sport history? Stop by and explore the BC Sports Hall of Fame, which celebrates BC athletes’ extraordinary achievements! Explore 12 galleries representing the teams, the athletes, and the builders who have been a part of BC sport history. You can relive the excitement of the 2010 Olympics or test your athletic skills in our interactive participation zone! Learn more about our hometown teams in the Our Teams, Our Turf Gallery, or explore our Greg Moore Gallery, complete with his Indy racing car. You can also stop by our viewing window and take a peek inside BC Place! Conveniently located in Downtown Vancouver just minutes away from a Skytrain station and bus stops, check out the BC Sports Hall of Fame today."""
168,Art Galleries,"""Since 1979, the Inuit Gallery of Vancouver Ltd. has offered a museum-quality collection of masterwork Inuit, Northwest Coast, and other Canadian art. We carry a tradition of presenting important exhibitions of Indigenous art, featuring new works by senior artists and exploring the work of the talented next generation of artists."""
169,Art Galleries,
170,Historic Sites|Points of Interest & Landmarks|History Museums,"""The Engine 374 Pavilion houses CPR Locomotive No. 374 which arrived in Vancouver in 1888, hauling the first transcontinental passenger train in Canada. The Pavilion is free to the public and open 7 days a week, 10am-4pm in summer and 11am-3pm in winter."""
171,History Museums,"""This museum traces the history of Chinese culture in Canada."""
172,Art Galleries|Art Museums,"""The Chali-Rosso Gallery collection is primarily focused on graphic works by the Modern Masters, including Pablo PICASSO, Salvador DALI, Marc CHAGALL, Joan MIRO and Henri MATISSE. In addition, we also offer works by REMBRANDT, Pierre-Auguste RENOIR, Edgar DEGAS, Andy WARHOL and a variety of others. The gallery launched the Definitely Dali project in May 2017, continuing in 2018 and 2019."""
173,Art Galleries,"""The Contemporary Art Gallery (CAG) is an independent, non-profit public art gallery and one of Canada’s leading venues for contemporary art. Offering free access to everyone, we work with artists from Canada and around the world to produce exhibitions, off-site projects, residencies, learning, outreach, community engagement programs, events and publications. Each of these interdependent strands of programming varies in scale, duration and location to challenge how and where we might engage with contemporary visual art."""
174,History Museums,"""The Jewish Museum and Archives of BC offers walking tours of Vancouver's historic neighbourhoods with a focus on Jewish community history. Join us for a scenic walk through Strathcona, Gastown, Oakridge, or Mountain View Cemetery. Full tour schedule on our website."""
175,Speciality Museums|History Museums,"""Permanently home inside the Wing Sang Building in Vancouver Chinatown, the Chinese Canadian Museum is dedicated to honouring Chinese Canadian history, contributions, and living heritage. The museum’s first feature exhibition ”The Paper Trail to the 1923 Chinese Exclusion Act” features hundreds of certificates of identity during the Chinese Immigration Act — the most ever publicly displayed in an exhibition, curated by Catherine Clement. There is, additionally, two Period Rooms that highlight a recreated 1930s living room and one of the oldest, most historic school rooms in Vancouver, registered as the Vancouver Chinese Independent School in 1914. Telling stories through the diverse voices of Chinese Canadians, the museum will be a testament to Chinese Canadian experiences, and foster respect, inclusion, and collaboration among all communities and across generations. As you explore, reflect on how you connect to the people and places of your past."""
176,Neighbourhoods|Parks|History Museums,"""Park containing nine historical houses."""
177,Art Galleries|Points of Interest & Landmarks,"""Douglas Reynolds Gallery was established in 1995, and is located in Vancouver on Granville street between 7th and 8th avenues in the South Granville gallery district. We specialize in historical and contemporary Northwest Coast native art. The gallery showcases museum quality pieces which make use of contemporary media such as resin, bronze, glass and aluminum. Works include masks, totem poles, bentwood boxes, sculpture, gold and silver jewelry, and early historic objects. Director & owner Douglas Reynolds, has over twenty years of experience dealing with Northwest Coastal native art. The gallery offers pieces by well-known artists such as Bill Reid, Robert Davidson, Jim Hart, Don Yeomans, Beau Dick and Klatle-bhi, while also supporting emerging artists such as Jay Simeon, Phil Gray, David R. Boxley, and Marcus Alfred. Works by these artists can be found in museums and private collections worldwide. We take pride in our friendly, knowledgeable staff."""
178,Art Galleries|Points of Interest & Landmarks,"""This is an artistic site where artists for Brazil have created an artistic painting on four concrete structures."""
179,Art Galleries,"""Since 2010, the Karen Cooper Gallery has resided on historic Granville Island, Vancouver's premiere art and artisan district. The gallery invites all to reflect on the mosaic of elegant landscapes and wildlife which portray British Columbia's diverse and luxurious natural beauty. As an artwork which occupies space, these landscapes eternally preserve our endless sense of wonder toward the complexity of the natural world. The gallery combines the timeless desire for exploration with fine art practices to produce an immersive visual narrative of the ever-changing wilderness. The Karen Cooper Gallery is where one can find a moment to connect with and reflect on the grandeur of the local natural world."""
180,Art Galleries,"""Canton-sardine is an artist-run centre located in Vancouver Chinatown, which was established in 2018 by artist and curator Steven Dragonn, critic and curator Xiaoyan Yang. The institute's name is called Canton-sardine because the founders thought that other than exhibitions, an artist-run space also carries curatorial and publishing functions, as it can also be a site for artist residencies and bookstores among many other roles. Thus he attempted to use the word “Sardine” to replace “Space” to redefine the artist-run centre’s mandate after French Avant-garde artist Arman’s thought. Also, the founders who originated from Canton, China, so-called “Canton-sardine”."""
181,Natural History Museums|Science Museums,"""As UBC’s oldest museum, and the only museum in Metro Vancouver to specialize in Earth, Oceanic & Atmospheric Sciences, the PME is one of B.C.'s \""hidden gems\"". Come see our new elasmosaur, our lambeosaur, and the only OmniGlobe in Canada! Our gem gallery stuns. Our mineral samples dazzle. Our field trips inspire. Many visitors are surprised that a museum that doesn't charge general admission could be of such high quality! Come explore the wonders of our dynamic Earth with us."""
182,Art Galleries|Speciality Museums,"""Specializing in original stone sculpture, Ukama Gallery on Granville Island represents hundreds of skilled emerging and world-renowned artists from Zimbabwe. Each unique work of art is personally selected with an eye towards capturing the remarkable variety of styles that flourish in an artistic community that ranges across the country, from well-established artist communities and co-operatives, to the many hard-to-reach rural areas. In this way, the Ukama Gallery collection is curated to convey a real sense of the important contribution that Zimbabwean sculptors are making to modern art. Complementing the sculpture are paintings and mixed media works from outstanding local Canadian artists. The combination of expressive and imaginative artwork adds colour and texture to the very tactile impression of the sculpture. Side by side, these complementary art forms have something to say about the essence of the human artistic instinct and experience."""
183,Speciality Museums|History Museums,"""Through multimedia exhibits, this museum preserves the memory of and educates the public about various aspects of the holocaust."""
184,Art Galleries,
185,Art Galleries,
186,Art Galleries,
187,Speciality Museums,"""Once a center of trade and commerce, the oldest building in the city now houses a small history museum of pioneer and native artifacts."""
188,Speciality & Gift Shops|Art Galleries|Art Museums,"""Come visit this Canadian contemporary art gallery for a boutique experience. Enjoy stunning 180 degree city, mountain, and ocean views. The rooftop gallery is located in WSix one of Vancouver's most interesting architectural buildings. This gallery showcases original Canadian art including impressionist, expressionist, realism, figurative and landscape. Many locals describe this gallery as the most beautiful art gallery in the city. Open Tuesday to Saturday 12-5."""
189,Art Galleries,"""A beautiful Gallery and Studio with very engaging artwork. There are landscape based and abstract paintings that capture the colour and energy of the coastal and urban experience and compelling mixed media figurative works. A welcoming gallery and fun to meet the artist at work."""
190,Art Galleries,
191,Art Galleries,"""Situated by the scenic False Creek on Granville Island,Blue Seas Gallery is specialized in artworks by local artists and artisans:The latest Vancouver Skyline photography by Chris Collacott, Manfred Kraus, wildlife/Landscape paintings by Denis Mayer Jr.,Fred Buchwitz... and one of a of a kind,exciting handmade pearl jewelry by \""The Pearlsmith\"", designer silver jewelry and unique local made gifts."""
192,Speciality & Gift Shops|Art Galleries|Art Museums,
